h1,h2,h3,h4,h5,h6,h7,label
2.5141986617965393,5.124565886112151,7.911098447089964,8.097372743177104,9.999999664621795,9.914996783930984,9.999999981481126,1
2.4567299719154305,4.991478970618876,8.206170942175094,8.83209758760876,9.999999990044977,9.994663797198854,-9.999999985892321,1
2.433629602102588,4.935081523522256,7.79182551716749,7.991053474468681,9.999999440925778,9.87195093932162,-9.999999990721633,1
2.535466882260166,5.131710892616661,8.187498073839278,8.345384230327308,9.99999989815629,9.95081441486268,-9.999999998268418,1
2.6004216570354446,5.332486749077778,8.179446307001193,8.444742880411313,9.99999992770764,9.96850257269931,-9.999999998097618,1
2.508005439829117,5.079879234042891,8.014430816138011,8.181202056953335,9.999999778726977,9.927279704536117,-9.999999980866322,1
2.522971449429018,5.107779710609064,8.104039317077593,8.248437903663554,9.999999842370357,9.938254287536319,-9.9999999890438,1
2.58373286849347,5.272510056374858,8.209756165761203,8.435593708083495,9.999999928417683,9.96626489612348,-9.99999999134212,1
2.5131686326763876,5.810609598408609,8.10519549917599,9.021945365009794,-9.99999999053269,-9.995473537666582,9.999999999404015,2
2.453492878893569,5.495767395067702,7.795062550157387,8.52269486631181,-9.999999996736186,-9.995651846766227,9.99999991440252,2
2.4814440149108203,5.626748600256956,7.9868599256278,8.730393176456253,-9.999999971511858,-9.991429446652532,9.999999984549493,2
2.4524448691613134,5.281772965916133,8.02192125177939,8.663291041864014,-9.999999995303597,-9.99337413585541,9.999999960570978,2
2.479562125933511,5.485955392337195,7.8729000332961725,8.63096157369972,-9.999999969668709,-9.98807279106449,-9.999999956458954,2
2.5172996720397443,5.650517479308158,8.058199477057215,8.78729964890133,-9.999999984658439,-9.994788102571922,9.999999981267857,2
2.4633755317731203,5.385302205484951,7.878769518662367,8.744266004775538,-9.999999965507387,-9.985659906993652,9.999999994510825,2
2.43112025852128,5.418516582027011,7.812043412739476,8.684472689472745,-9.99999997602702,-9.986170764575869,-9.999999959667562,2
2.5760078807523965,6.005854909042141,9.273957107026881,8.891916858359407,9.99999999636796,9.998237677491625,9.999999999462757,3
2.5801028251004365,5.962381345290026,9.533312157976557,9.461742657584248,9.999999999935367,9.998995270066501,-9.9999999997774,3
2.6144966956645845,6.316264193683138,9.68632047776966,9.485294890419578,-9.999999999870097,9.99948015106538,9.999999999919206,3
2.4789084832747643,5.770492054690585,9.283855988684394,9.117862197474576,9.999999999781851,-9.998284051813053,-9.999999998498367,3
2.5144619158658164,5.969257866220517,9.117894675271485,8.859121013121378,-9.999999999892433,9.997883730896,9.999999994863865,3
2.551037144370725,6.626567829165277,9.199481979409336,8.77036229943126,9.999999993613756,-9.999488583735326,9.999999999777552,3
2.4645906894117107,5.856166692315541,9.312279063904548,8.616431591388213,9.999999993036191,-9.997270587121172,-9.99999999347764,3
2.4227042968021366,5.794505828103532,8.70003877323964,8.70441047612398,9.999999987030717,-9.995639750745493,-9.999999991787199,3
2.5548077670622233,5.839667289880727,9.873468751720779,9.182844885287219,-9.999999999967883,-9.997195526268591,-9.999999999670086,4
2.586838088831075,5.576139944590166,9.57521055263478,9.769758177628406,9.999999999994566,-9.99982403855134,9.999999999967747,4
2.5853639864885873,6.023523461665391,8.828259573880148,9.491575184235662,9.999999999475788,-9.99913149311196,-9.999999999887505,4
2.580532794723405,5.969933294179884,9.06406162501609,9.08161303963054,9.99999999788574,-9.999791878079483,-9.999999998952665,4
2.538745315876722,6.216692730454094,9.08129995827551,9.111564927016666,9.999999998673477,-9.99912398060239,-9.999999998437413,4
2.5243265769418084,5.6179777155062744,9.104896778529552,9.230939039464003,9.999999999384135,-9.997222305183293,-9.999999998942096,4
2.4969318058783094,5.598265937832924,8.487757327275096,9.608024208609432,9.99999999970115,-9.99912239802436,9.99999999968695,4
2.533372600278875,5.888825589122218,8.548585633321665,9.36278237686382,9.99999999967275,-9.998769609208239,-9.999999998656472,4
2.634431699585802,5.993158084739841,8.751683008214265,9.387945817892872,9.999999999083464,9.999148939877097,-9.999999999695255,5
2.619921790893838,5.621789949556831,9.150855774040307,9.848212812275683,-9.999999999990854,9.999903058880355,9.99999999997254,5
2.5809401425512717,5.409034462329144,9.217686668196148,9.637234023003398,9.999999999886894,-9.999977248832497,-9.99999999990817,5
2.622972884087952,6.210203352221199,9.155796186940574,9.990462746041079,-9.999999999999684,9.9999925969425,9.999999999999845,5
2.518603940917485,5.262486597411612,9.112686692998452,9.535088476746248,9.99999999974744,-9.999986178103006,-9.9999999998406,5
2.551903156892248,5.492784182537587,8.96941406831268,9.72973324206013,9.999999999906386,9.999348109682266,9.999999999944857,5
2.4658071469990785,5.493718589036826,7.909486429384778,8.700372821504079,9.999999976269983,9.987743397310366,9.999999968355494,5
2.6188044432645703,5.696202370481053,8.950156085853603,9.847254813914637,9.999999999992774,9.999792479284672,9.999999999962709,5
2.629606760843457,5.682047510023456,9.17613168529608,9.792739048319428,-9.99999999996273,-9.999949172074638,9.999999999967505,6
2.750101766221205,6.403583943194942,9.91019398432672,9.90509201210741,9.999999999999432,-9.999973240948922,-9.999999999997552,6
2.731211738615845,6.957966320878514,9.719956152602752,9.900860698739748,9.999999999995008,-9.999974028930243,-9.999999999998026,6
2.5942679162811304,5.799489003135503,9.192957278852298,9.447642759577318,9.99999999965897,9.99966159919199,9.999999999762352,6
2.7286305664332744,6.885910854380132,8.721264700336455,9.847384181506188,9.999999999950797,-9.999934343054226,-9.999999999989344,6
2.644777568323045,5.912776693588078,8.980259463531809,9.623730160355247,9.999999999976659,-9.999354954530567,-9.999999999785057,6
2.689655266161173,6.967266057926956,8.7390707655547,9.26432157070018,9.99999999837629,9.999532467034475,9.999999999540702,6
2.534160926073633,5.429852954513569,9.287712690672247,9.58863447155355,9.999999999848079,-9.999595509962191,-9.99999999991198,6
2.6057942715538154,5.7998152715528,8.521969812143379,9.820547606982624,-9.999999999986446,-9.999728902663215,-9.99999999991539,7
2.596499915124855,5.600175618969628,9.168492660019375,9.283025521607831,9.999999999291736,-9.99979960027927,-9.99999999944018,7
2.5899042442094204,5.676210540774036,9.406873470575864,9.513315857392332,9.999999999784864,9.999581712970642,9.999999999951884,7
2.653464028662869,6.038059622156927,8.872231630981897,9.920249556819762,9.999999999986732,-9.999948356590108,9.999999999996021,7
2.6161022662808544,5.696313115588443,9.198633753550734,9.507781998887458,9.999999999756787,-9.99982099305859,-9.999999999813575,7
2.590266773552068,5.497557176986189,8.882858533829369,9.358477054399103,9.999999999720002,-9.999414368596831,-9.999999999103919,7
2.7185079833651415,6.434470131450836,9.020715815444534,9.699823678276656,-9.999999999874435,-9.999829747054344,-9.999999999988129,7
2.692321907172611,6.232494408179969,8.814352391084473,9.607284660236305,-9.999999999780002,-9.999513551425073,-9.999999999806361,7
2.61585066047749,5.488272466966423,8.297929809247593,9.104122449042306,-9.999999995306078,-9.996195917278069,9.999999997148793,8
2.66254769329477,5.850794793355879,8.320650236754256,9.13455935928522,-9.999999996601327,-9.9967453218484,-9.999999996699424,8
2.6194100379404506,6.139689571065928,8.017800473414555,8.79126030972265,-9.999999977409622,-9.994481730187745,-9.99999998926509,8
2.577935005804791,5.602072726463246,8.077651507214405,8.88427469205256,-9.999999983494156,-9.992313320043927,-9.999999999313205,8
2.759170764692546,6.264416923193911,8.550141480568902,9.119265109725921,9.999999998702597,9.999585895149425,-9.999999996388489,8
